Experiment,user-reg,item-reg,num-factors,NormalizedDCGEvaluator,ndcg_metric.py
exp00036,0.2728668719322497,0.14926640732571067,140.0,0.13006509827432577,0.10996324730448304
exp00037,0.1387551057552133,0.4382795775591913,125.0,0.11633034316534971,0.09032069680022589
exp00038,0.2424590854657135,0.39818028924143645,132.0,0.12114273452615006,0.09817794894359551
exp00039,0.06278869173346749,0.7127210142502395,101.0,0.11207551336110085,0.08907030761435501
exp00040,0.587215480177759,0.7405013326994957,110.0,0.09730601930359296,0.07540741479903057
exp00041,0.043112339637203845,0.0680413037787801,120.0,0.16801376877169555,0.15661868147626926
exp00042,0.49090697233957103,0.6687031133922525,133.0,0.09789070550862168,0.07583617604765441
exp00043,0.621152384031803,0.7480007292427349,137.0,0.0962503348581756,0.07078175411516378
exp00044,0.41788210097335426,0.787648664822828,114.0,0.09577948789759784,0.0735753259936413
exp00045,0.4583943811622692,0.0261551794275936,113.0,0.14567084900573019,0.13297905057069945
exp00046,0.31963860552354084,0.5862653483352871,120.0,0.0992747656971176,0.07734248717394401
exp00047,0.5204815074660564,0.16479314850574647,120.0,0.12971096635745546,0.11255655644426159
exp00048,0.7189941226649287,0.07535803754399636,92.0,0.13203990851062436,0.11527402663300615
exp00049,0.012500398675660229,0.5046450575016284,87.0,0.1060088453461379,0.08568790454232877
exp00050,0.4132396111114168,0.21827505688530746,97.0,0.12633532714305296,0.10511097773282123
exp00051,0.45792667268866427,0.6291530919211137,82.0,0.09744110858063355,0.07298382395563566
exp00052,0.37891401119699186,0.5858533792615955,93.0,0.09967996684527117,0.07809418083539635
exp00053,0.37325687170188593,0.5270095755594075,96.0,0.09902704574178837,0.07716147151126262
exp00054,0.3451119903121337,0.19890865343763045,71.0,0.13390094023719185,0.11475539778657215
exp00055,0.2720939592770527,0.3187465806483033,70.0,0.12850322247005488,0.11040859220134953
exp00056,0.7173904249115506,0.24190980575419008,79.0,0.10123185892152367,0.07774325752045494
exp00057,0.6997987430390377,0.2763887961376194,42.0,0.10132165542482481,0.07933227936844553
exp00058,0.20206414053492797,0.25492726987676834,77.0,0.12289069650271119,0.09851029378220097
exp00059,0.17876666056190432,0.33666024124020794,62.0,0.12161651157146121,0.09882567103161156
exp00060,0.2844680769019337,0.15630490284294943,145.0,0.11893724519460773,0.09519593271749426
exp00061,0.1291361692440942,0.3708550721848225,144.0,0.12051349718528692,0.09822075920747132
exp00062,0.2704721201144005,0.3946101216294528,125.0,0.1191228660853643,0.09418231368204266
exp00063,0.243347639727172,0.43277686381018704,146.0,0.11983957641986247,0.0959905745510172
exp00064,0.15644497219443618,0.47148242845188826,126.0,0.11653371873882204,0.09181996931894745
exp00065,0.13568643359190713,0.3489443143272206,131.0,0.12045643235856227,0.09596491526845752
exp00066,0.0726120363746382,0.7080095972013146,106.0,0.1097806587327275,0.08133892649679908
exp00067,0.09341618399335178,0.15780842924208355,137.0,0.12868827744448635,0.10747155789877698
exp00068,0.058768937283710285,0.0795460345224395,110.0,0.1546866522898147,0.13946734074851147
exp00069,0.04312728810428666,0.6941020797306146,124.0,0.10631299988712772,0.08224956474689438
exp00070,0.5779148701750516,0.6732401201230478,101.0,0.09850653449688648,0.0767202830601008
exp00071,0.5033356648309534,0.09852437563490568,87.0,0.13104775144107067,0.11520627694672363
exp00072,0.008564563582102384,0.5817192159999498,92.0,0.10271073493852667,0.07970755344419118
exp00073,0.5405249696897648,0.5818797671212147,85.0,0.09917477197895253,0.0753322192890727
exp00074,0.47703649235480045,0.5256511261528778,97.0,0.09943242652346902,0.07723362119303553
exp00075,0.40700435118170514,0.5353864243216754,94.0,0.09937856223980797,0.0767281170583036
exp00076,0.3505535620036966,0.4807483204937067,82.0,0.09976176231339155,0.07614194914903195
exp00077,0.30549859583436556,0.6272484148565534,72.0,0.09936648359671067,0.075763414543146
exp00078,0.39077533406207293,0.5572812333947735,68.0,0.10027155021805619,0.07793466711944375
exp00079,0.36450797389440903,0.23891762838269393,64.0,0.1251921793928176,0.10435376663722742
exp00080,0.7839787289282315,0.2851692423447154,37.0,0.10082931277027866,0.07920992021883229
exp00081,0.7498561773750219,0.2604906677993819,47.0,0.10052385636591457,0.07802871333045087
exp00082,0.19428255274366094,0.32505564648606194,54.0,0.12229763466066179,0.10259778884787955
exp00083,0.18700659899685487,0.3080138308342078,75.0,0.12250093124092316,0.10209579083937434
exp00084,0.2741705886336736,0.38261713805585346,20.0,0.11975859842682086,0.09515523404313148
exp00085,0.3205709225105022,0.36299946035302905,58.0,0.12283195414662171,0.10056042444110602
exp00086,0.1214247248922839,0.3063218444563259,146.0,0.11856089824574105,0.09630577438958238
exp00087,0.2677576771466347,0.32683039344376863,143.0,0.12076416328424595,0.09763657655383635
exp00088,0.24225304585331098,0.41552904534276625,147.0,0.11953955294362784,0.09766782397464469
exp00089,0.1768100052088615,0.2555689680335134,150.0,0.12087863505289717,0.09695323309144697
exp00090,0.21536936253496836,0.45578096733281115,41.0,0.11981641534113115,0.09697164607803246
exp00091,0.20116943311764385,0.36411338155192546,127.0,0.12483597233661706,0.10420806629093105
exp00092,0.15124427541458152,0.3487032094813535,141.0,0.11869713393508297,0.09396227501216893
exp00093,0.12762872036230338,0.39261740459898903,130.0,0.11980835679331045,0.09602080193246135
exp00094,0.09985930985687481,0.41400821106121527,137.0,0.11911663709305184,0.09763582443975041
exp00095,0.08048393422117493,0.17532884911377983,135.0,0.1284613378172766,0.11045283788395159
exp00096,0.03711931892533923,0.1500390079948069,124.0,0.13285131452470775,0.11271903454468284
exp00097,0.07793685582364135,0.707776418507259,124.0,0.11086833214084979,0.0853384870250581
exp00098,0.06577211455271935,0.7638245785775217,107.0,0.11102945195042364,0.08662330795502224
exp00099,0.03202381578924058,0.6853933424956589,103.0,0.1022897432620516,0.0760523138570838
